source_dataset,target_split,class_name,original_file_name,new_file_name,new_file_path
dataset2,train,夏枯草,23.jpg,d2_train_23.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_23.jpg
dataset2,train,夏枯草,4.jpg,d2_train_4.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_4.jpg
dataset2,train,夏枯草,74.jpg,d2_train_74.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_74.jpg
dataset2,train,夏枯草,86.jpg,d2_train_86.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_86.jpg
dataset2,train,夏枯草,17.jpg,d2_train_17.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_17.jpg
dataset2,train,夏枯草,20.jpg,d2_train_20.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_20.jpg
dataset2,train,夏枯草,70.jpg,d2_train_70.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_70.jpg
dataset2,train,夏枯草,42.jpg,d2_train_42.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_42.jpg
dataset2,train,夏枯草,69.jpg,d2_train_69.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_69.jpg
dataset2,train,夏枯草,55.jpg,d2_train_55.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_55.jpg
dataset2,train,夏枯草,84.jpg,d2_train_84.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_84.jpg
dataset2,train,夏枯草,52.jpg,d2_train_52.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_52.jpg
dataset2,train,夏枯草,10.jpg,d2_train_10.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_10.jpg
dataset2,train,夏枯草,46.jpg,d2_train_46.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_46.jpg
dataset2,train,夏枯草,47.jpg,d2_train_47.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_47.jpg
dataset2,train,夏枯草,49.jpg,d2_train_49.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_49.jpg
dataset2,train,夏枯草,39.jpg,d2_train_39.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_39.jpg
dataset2,train,夏枯草,30.jpg,d2_train_30.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_30.jpg
dataset2,train,夏枯草,26.jpg,d2_train_26.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_26.jpg
dataset2,train,夏枯草,50.jpg,d2_train_50.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_50.jpg
dataset2,train,夏枯草,77.jpg,d2_train_77.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_77.jpg
dataset2,train,夏枯草,16.jpg,d2_train_16.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_16.jpg
dataset2,train,夏枯草,40.jpg,d2_train_40.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_40.jpg
dataset2,train,夏枯草,8.jpg,d2_train_8.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_8.jpg
dataset2,train,夏枯草,11.jpg,d2_train_11.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_11.jpg
dataset2,train,夏枯草,24.jpg,d2_train_24.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_24.jpg
dataset2,train,夏枯草,44.jpg,d2_train_44.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_44.jpg
dataset2,train,夏枯草,48.jpg,d2_train_48.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_48.jpg
dataset2,train,夏枯草,3.jpg,d2_train_3.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_3.jpg
dataset2,train,夏枯草,51.jpg,d2_train_51.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_51.jpg
dataset2,train,夏枯草,31.jpg,d2_train_31.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_31.jpg
dataset2,train,夏枯草,14.jpg,d2_train_14.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_14.jpg
dataset2,train,夏枯草,15.jpg,d2_train_15.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_15.jpg
dataset2,train,夏枯草,57.jpg,d2_train_57.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_57.jpg
dataset2,train,夏枯草,67.jpg,d2_train_67.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_67.jpg
dataset2,train,夏枯草,80.jpg,d2_train_80.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_80.jpg
dataset2,train,夏枯草,18.jpg,d2_train_18.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_18.jpg
dataset2,train,夏枯草,65.jpg,d2_train_65.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_65.jpg
dataset2,train,夏枯草,29.jpg,d2_train_29.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_29.jpg
dataset2,train,夏枯草,73.jpg,d2_train_73.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_73.jpg
dataset2,train,夏枯草,5.jpg,d2_train_5.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_5.jpg
dataset2,train,夏枯草,19.jpg,d2_train_19.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_19.jpg
dataset2,train,夏枯草,64.jpg,d2_train_64.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_64.jpg
dataset2,train,夏枯草,53.jpg,d2_train_53.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_53.jpg
dataset2,train,夏枯草,1.jpg,d2_train_1.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_1.jpg
dataset2,train,夏枯草,6.jpg,d2_train_6.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_6.jpg
dataset2,val,夏枯草,56.jpg,d2_val_56.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_56.jpg
dataset2,val,夏枯草,81.jpg,d2_val_81.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_81.jpg
dataset2,val,夏枯草,43.jpg,d2_val_43.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_43.jpg
dataset2,val,夏枯草,61.jpg,d2_val_61.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_61.jpg
dataset2,val,夏枯草,82.jpg,d2_val_82.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_82.jpg
dataset2,val,夏枯草,58.jpg,d2_val_58.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_58.jpg
dataset2,val,夏枯草,32.jpg,d2_val_32.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_32.jpg
dataset2,val,夏枯草,75.jpg,d2_val_75.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\夏枯草\d2_val_75.jpg
dataset2,external_test_dataset2_overlap,夏枯草,68.jpg,d2_external_68.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_68.jpg
dataset2,external_test_dataset2_overlap,夏枯草,36.jpg,d2_external_36.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_36.jpg
dataset2,external_test_dataset2_overlap,夏枯草,34.jpg,d2_external_34.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_34.jpg
dataset2,external_test_dataset2_overlap,夏枯草,79.jpg,d2_external_79.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_79.jpg
dataset2,external_test_dataset2_overlap,夏枯草,85.jpg,d2_external_85.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_85.jpg
dataset2,external_test_dataset2_overlap,夏枯草,13.jpg,d2_external_13.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_13.jpg
dataset2,external_test_dataset2_overlap,夏枯草,59.jpg,d2_external_59.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_59.jpg
dataset2,external_test_dataset2_overlap,夏枯草,78.jpg,d2_external_78.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_78.jpg
dataset2,external_test_dataset2_overlap,夏枯草,2.jpg,d2_external_2.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_2.jpg
dataset2,external_test_dataset2_overlap,夏枯草,72.jpg,d2_external_72.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_72.jpg
dataset2,external_test_dataset2_overlap,夏枯草,21.jpg,d2_external_21.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_21.jpg
dataset2,external_test_dataset2_overlap,夏枯草,25.jpg,d2_external_25.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_25.jpg
dataset2,external_test_dataset2_overlap,夏枯草,35.jpg,d2_external_35.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_35.jpg
dataset2,external_test_dataset2_overlap,夏枯草,38.jpg,d2_external_38.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_38.jpg
dataset2,external_test_dataset2_overlap,夏枯草,41.jpg,d2_external_41.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_41.jpg
dataset2,external_test_dataset2_overlap,夏枯草,12.jpg,d2_external_12.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_12.jpg
dataset2,external_test_dataset2_overlap,夏枯草,22.jpg,d2_external_22.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_22.jpg
dataset2,external_test_dataset2_overlap,夏枯草,83.jpg,d2_external_83.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\external_test_dataset2_overlap\夏枯草\d2_external_83.jpg
dataset2,train,巴戟天,11.jpg,d2_train_11.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_11.jpg
dataset2,train,巴戟天,22.jpg,d2_train_22.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_22.jpg
dataset2,train,巴戟天,20.jpg,d2_train_20.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_20.jpg
dataset2,train,巴戟天,30.jpg,d2_train_30.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_30.jpg
dataset2,train,巴戟天,84.jpg,d2_train_84.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_84.jpg
dataset2,train,巴戟天,60.jpg,d2_train_60.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_60.jpg
dataset2,train,巴戟天,42.jpg,d2_train_42.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_42.jpg
dataset2,train,巴戟天,33.jpg,d2_train_33.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_33.jpg
dataset2,train,巴戟天,52.jpg,d2_train_52.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_52.jpg
dataset2,train,巴戟天,21.jpg,d2_train_21.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_21.jpg
dataset2,train,巴戟天,10.jpg,d2_train_10.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_10.jpg
dataset2,train,巴戟天,23.jpg,d2_train_23.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_23.jpg
dataset2,train,巴戟天,43.jpg,d2_train_43.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_43.jpg
dataset2,train,巴戟天,45.jpg,d2_train_45.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_45.jpg
dataset2,train,巴戟天,50.jpg,d2_train_50.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_50.jpg
dataset2,train,巴戟天,39.jpg,d2_train_39.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_39.jpg
dataset2,train,巴戟天,3.jpg,d2_train_3.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_3.jpg
dataset2,train,巴戟天,69.jpg,d2_train_69.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_69.jpg
dataset2,train,巴戟天,2.jpg,d2_train_2.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_2.jpg
dataset2,train,巴戟天,73.jpg,d2_train_73.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_73.jpg
dataset2,train,巴戟天,15.jpg,d2_train_15.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_15.jpg
dataset2,train,巴戟天,27.jpg,d2_train_27.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_27.jpg
dataset2,train,巴戟天,58.jpg,d2_train_58.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_58.jpg
dataset2,train,巴戟天,32.jpg,d2_train_32.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_32.jpg
dataset2,train,巴戟天,61.jpg,d2_train_61.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_61.jpg
dataset2,train,巴戟天,28.jpg,d2_train_28.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_28.jpg
dataset2,train,巴戟天,64.jpg,d2_train_64.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_64.jpg
dataset2,train,巴戟天,37.jpg,d2_train_37.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_37.jpg
dataset2,train,巴戟天,66.jpg,d2_train_66.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_66.jpg
dataset2,train,巴戟天,65.jpg,d2_train_65.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_65.jpg
dataset2,train,巴戟天,74.jpg,d2_train_74.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_74.jpg
dataset2,train,巴戟天,5.jpg,d2_train_5.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_5.jpg
dataset2,train,巴戟天,48.jpg,d2_train_48.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_48.jpg
dataset2,train,巴戟天,7.jpg,d2_train_7.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_7.jpg
dataset2,train,巴戟天,63.jpg,d2_train_63.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_63.jpg
dataset2,train,巴戟天,57.jpg,d2_train_57.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_57.jpg
dataset2,train,巴戟天,77.jpg,d2_train_77.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_77.jpg
dataset2,train,巴戟天,90.jpg,d2_train_90.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_90.jpg
dataset2,train,巴戟天,29.jpg,d2_train_29.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_29.jpg
dataset2,train,巴戟天,68.jpg,d2_train_68.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_68.jpg
dataset2,train,巴戟天,85.jpg,d2_train_85.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_85.jpg
dataset2,train,巴戟天,78.jpg,d2_train_78.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_78.jpg
dataset2,train,巴戟天,1.jpg,d2_train_1.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_1.jpg
dataset2,train,巴戟天,41.jpg,d2_train_41.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_41.jpg
dataset2,train,巴戟天,24.jpg,d2_train_24.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_24.jpg
dataset2,train,巴戟天,72.jpg,d2_train_72.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_72.jpg
dataset2,train,巴戟天,91.jpg,d2_train_91.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_91.jpg
dataset2,train,巴戟天,70.jpg,d2_train_70.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_70.jpg
dataset2,train,巴戟天,54.jpg,d2_train_54.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_54.jpg
dataset2,train,巴戟天,31.jpg,d2_train_31.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_31.jpg
dataset2,train,巴戟天,88.jpg,d2_train_88.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_88.jpg
dataset2,train,巴戟天,44.jpg,d2_train_44.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_44.jpg
dataset2,train,巴戟天,80.jpg,d2_train_80.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_80.jpg
dataset2,train,巴戟天,49.jpg,d2_train_49.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_49.jpg
dataset2,train,巴戟天,79.jpg,d2_train_79.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_79.jpg
dataset2,train,巴戟天,19.jpg,d2_train_19.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_19.jpg
dataset2,train,巴戟天,81.jpg,d2_train_81.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_81.jpg
dataset2,train,巴戟天,18.jpg,d2_train_18.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_18.jpg
dataset2,train,巴戟天,9.jpg,d2_train_9.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_9.jpg
dataset2,train,巴戟天,6.jpg,d2_train_6.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_6.jpg
dataset2,train,巴戟天,12.jpg,d2_train_12.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_12.jpg
dataset2,train,巴戟天,53.jpg,d2_train_53.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_53.jpg
dataset2,train,巴戟天,14.jpg,d2_train_14.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\巴戟天\d2_train_14.jpg
dataset2,val,巴戟天,8.jpg,d2_val_8.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\val\巴戟天\d2_val_8.jpg
